"skill_id","skills","job_title_short","demand_count","avg_salary"
1,"python","Machine Learning Engineer","33","150570"
76,"aws","Machine Learning Engineer","12","168402"
0,"sql","Machine Learning Engineer","11","152983"
101,"pytorch","Machine Learning Engineer","11","122893"
